price_recv,dt
11750.14,1597023308.109686
11750.13,1597023308.115272
11750.14,1597023308.217183
11750.13,1597023310.733807
11749.96,1597023310.833703
11749.96,1597023310.840282
11749.61,1597023310.923263
11749.61,1597023311.321507
11748.6,1597023311.324096
11749.11,1597023311.359583
11748.6,1597023311.361548
11748.33,1597023311.364415
11748.15,1597023311.364821
11747.84,1597023311.366547
11748.51,1597023311.450702
11748.5,1597023311.45458
11748.5,1597023311.511046
11748.16,1597023311.51302
11748.34,1597023311.561006
11748.5,1597023311.562922
11748.5,1597023311.563324
11748.33,1597023311.569013
11748.4,1597023311.667202
11748.41,1597023311.689763
11748.41,1597023311.853034
11748.41,1597023311.961939
11748.41,1597023312.58076
11748.41,1597023312.77117
11748.41,1597023312.897333
11748.4,1597023313.090571
11748.34,1597023313.248576
11748.33,1597023313.254344
11748.34,1597023313.527439
11748.34,1597023313.679647
11748.34,1597023313.723455
11748.34,1597023313.726116
11748.34,1597023313.838276
11748.34,1597023313.95134
11748.34,1597023314.05072
11748.34,1597023314.157303
11748.34,1597023314.264122
11748.34,1597023314.915952
11748.33,1597023315.32386
11748.34,1597023315.330862
11748.33,1597023315.519586
11748.34,1597023315.901043
11748.34,1597023316.084543
11748.09,1597023316.468588
11748.09,1597023316.778385
11748.26,1597023316.787514
11748.27,1597023316.802033
11748.33,1597023316.808045
11748.34,1597023316.808463
11748.35,1597023316.808829
11748.42,1597023316.812942
11748.5,1597023316.813957
11748.51,1597023316.814356
11748.56,1597023316.81491
11748.67,1597023316.815301
11749.11,1597023316.817649
11749.12,1597023316.818063
11749.15,1597023316.823576
11749.62,1597023316.82425
11749.63,1597023316.83419
11749.71,1597023316.834839
11749.72,1597023316.835268
11749.78,1597023316.843478
11749.79,1597023316.843892
11749.81,1597023316.844259
11749.95,1597023316.910427
11749.96,1597023316.910875
11749.97,1597023316.911285
11750.03,1597023316.911641
11750.04,1597023316.911979
11750.05,1597023316.912332
11750.09,1597023316.912676
11750.13,1597023316.913043
11750.15,1597023316.913435
11750.35,1597023316.913817
11750.36,1597023316.914312
11750.38,1597023316.91484
11750.39,1597023316.91519
11750.49,1597023316.915515
11750.54,1597023316.915832
11750.69,1597023316.919561
11750.91,1597023316.920002
11750.92,1597023316.920414
11751.07,1597023316.920857
11751.08,1597023316.921207
11751.13,1597023316.921464
11751.14,1597023316.921655
11751.17,1597023316.921842
11751.21,1597023316.922028
11751.22,1597023316.922237
11751.51,1597023316.922448
11751.88,1597023316.922659
11752.0,1597023316.922871
11752.28,1597023316.923067
11752.32,1597023316.923285
11752.34,1597023316.923496
11752.35,1597023316.934043
11752.38,1597023316.934327
11752.39,1597023316.934588
11752.48,1597023316.934829
11752.54,1597023316.935093
11752.55,1597023316.935359
11752.74,1597023316.935627
11752.75,1597023316.935864
11752.82,1597023316.939984
11752.86,1597023316.940273
11752.87,1597023316.940526
11752.99,1597023316.940769
11753.09,1597023316.941005
11753.1,1597023316.945081
11753.27,1597023316.945454
11753.31,1597023316.945756
11753.32,1597023316.946052
11753.35,1597023316.946333
11753.53,1597023316.946605
11753.67,1597023316.946875
11753.78,1597023316.94714
11753.96,1597023316.947402
11753.97,1597023316.947663
11754.02,1597023316.947923
11754.08,1597023316.948183
11754.11,1597023316.948481
11754.12,1597023316.948782
11754.35,1597023316.94908
11754.36,1597023316.9494
11754.45,1597023316.949712
11754.46,1597023316.95001
11754.67,1597023316.950312
11754.68,1597023316.950612
11754.89,1597023316.950924
11754.96,1597023316.951221
11755.0,1597023316.951521
11755.13,1597023316.951789
11755.14,1597023316.95208
11755.26,1597023316.952382
11755.27,1597023316.952811
11755.58,1597023316.953124
11755.59,1597023316.953446
11755.62,1597023316.953752
11755.69,1597023316.954075
11755.72,1597023316.954374
11755.75,1597023316.954667
11755.75,1597023316.95497
11748.08,1597023316.955266
11747.83,1597023316.955565
11747.16,1597023316.956503
11751.55,1597023317.058668
11749.97,1597023317.159373
11750.95,1597023317.415458
11750.95,1597023317.528825
11750.95,1597023317.533992
11750.95,1597023317.726894
11750.95,1597023318.199648
